13.75,3.50,12.00,15.50,19.50,10.25,
8.00,13.00,23.50,2.75,4.25,20.75,
20.75,3.25,15.25,17.25,11.00,9.75,
19.25,8.50,8.50,.50,23.25,6.00,
6.25,7.00,12.25,23.00,.75,2.00,
11.00,21.75,15.75,15.50,5.75,24.50,
22.50,5.00,1.50,19.75,8.00,7.50,
18.25,22.75,10.25,9.00,0,23.25,
15.75,24.00,4.25,14.00,7.50,20.25,
9.25,14.00,8.75,22.50,17.25,8.75,
8.00,13.50,21.75,15.25,20.25,24.75,
5.25,19.25,11.75,13.50,24.75,9.00,
23.25,1.75,21.25,3.00,16.75,4.00,
16.25,13.25,6.75,14.75,24.50,23.50,
5.75,1.75,14.75,4.75,18.75,3.25,
11.75,17.00,19.75,20.75,20.25,21.50,
12.75,12.25,21.00,24.00,17.75,23.50,
5.75,24.75,2.25,4.25,13.75,17.50,
12.25,19.75,15.50,12.75,1.50,24.00,
14.00,4.00,12.75,4.50,2.75,5.75,
24.50,0,19.50,20.00,18.75,13.25,
19.25,7.50,14.50,10.25,21.50,4.25,
23.25,10.00,15.50,9.25,23.00,5.00,
7.50,21.50,15.75,11.25,17.50,24.75,
.50,15.75,22.25,10.25,23.75,21.00,
19.25,2.50,21.75,6.00,.50,21.50,
10.75,4.25,20.50,5.25,13.00,3.00,
8.25,16.25,24.50,9.50,4.75,2.50,
13.00,4.25,17.00,6.50,15.25,1.25,
9.75,23.50,10.00,24.75,12.00,5.00,
14.50,19.75,19.75,17.25,17.75,16.00,
1.50,3.00,24.25,1.00,4.00,24.50,
19.75,0,10.00,20.75,12.25,16.25,
12.75,3.25,7.25,21.00,15.50,7.25,
15.00,8.50,3.00,.25,3.00,8.00,
9.00,23.00,3.75,11.00,20.50,15.00,
1.50,2.50,18.00,5.50,15.50,15.50,
17.25,24.50,.75,8.50,4.00,15.25,
5.25,6.25,.50,6.00,23.25,11.25,
20.50,4.50,.50,19.75,12.75,18.25,
23.25,14.25,18.75,13.00,19.25,6.75,
2.50,15.25,23.25,19.75,18.50,16.75,
1.50,11.25,23.50,16.75,17.00,15.75,
.50,13.50,2.00,8.00,21.50,12.25,
15.00,13.00,5.50,.25,4.75,18.25,
19.50,17.50,21.75,21.75,9.75,21.50,
0,16.50,22.25,15.25,7.00,10.50,
21.25,9.00,20.25,11.25,12.25,20.00,
24.00,7.75,20.50,8.00,22.00,3.75,
17.50,23.75,.75,13.25,7.75,12.00,
