27.50,7.00,24.00,31.00,39.00,20.50,
16.00,26.00,47.00,5.50,8.50,41.50,
41.50,6.50,30.50,34.50,22.00,19.50,
38.50,17.00,17.00,1.00,46.50,12.00,
12.50,14.00,24.50,46.00,1.50,4.00,
22.00,43.50,31.50,31.00,11.50,49.00,
45.00,10.00,3.00,39.50,16.00,15.00,
36.50,45.50,20.50,18.00,0,46.50,
31.50,48.00,8.50,28.00,15.00,40.50,
18.50,28.00,17.50,45.00,34.50,17.50,
16.00,27.00,43.50,30.50,40.50,49.50,
10.50,38.50,23.50,27.00,49.50,18.00,
46.50,3.50,42.50,6.00,33.50,8.00,
32.50,26.50,13.50,29.50,49.00,47.00,
11.50,3.50,29.50,9.50,37.50,6.50,
23.50,34.00,39.50,41.50,40.50,43.00,
25.50,24.50,42.00,48.00,35.50,47.00,
11.50,49.50,4.50,8.50,27.50,35.00,
24.50,39.50,31.00,25.50,3.00,48.00,
28.00,8.00,25.50,9.00,5.50,11.50,
49.00,0,39.00,40.00,37.50,26.50,
38.50,15.00,29.00,20.50,43.00,8.50,
46.50,20.00,31.00,18.50,46.00,10.00,
15.00,43.00,31.50,22.50,35.00,49.50,
1.00,31.50,44.50,20.50,47.50,42.00,
38.50,5.00,43.50,12.00,1.00,43.00,
21.50,8.50,41.00,10.50,26.00,6.00,
16.50,32.50,49.00,19.00,9.50,5.00,
26.00,8.50,34.00,13.00,30.50,2.50,
19.50,47.00,20.00,49.50,24.00,10.00,
29.00,39.50,39.50,34.50,35.50,32.00,
3.00,6.00,48.50,2.00,8.00,49.00,
39.50,0,20.00,41.50,24.50,32.50,
25.50,6.50,14.50,42.00,31.00,14.50,
30.00,17.00,6.00,.50,6.00,16.00,
18.00,46.00,7.50,22.00,41.00,30.00,
3.00,5.00,36.00,11.00,31.00,31.00,
34.50,49.00,1.50,17.00,8.00,30.50,
10.50,12.50,1.00,12.00,46.50,22.50,
41.00,9.00,1.00,39.50,25.50,36.50,
46.50,28.50,37.50,26.00,38.50,13.50,
5.00,30.50,46.50,39.50,37.00,33.50,
3.00,22.50,47.00,33.50,34.00,31.50,
1.00,27.00,4.00,16.00,43.00,24.50,
30.00,26.00,11.00,.50,9.50,36.50,
39.00,35.00,43.50,43.50,19.50,43.00,
0,33.00,44.50,30.50,14.00,21.00,
42.50,18.00,40.50,22.50,24.50,40.00,
48.00,15.50,41.00,16.00,44.00,7.50,
35.00,47.50,1.50,26.50,15.50,24.00,
